id,country,age,gender,EDUCATION_LEVEL,wtp_access,wtp_private,wtp_amount_1,wtp_amount_2a,wtp_amount_2b,geq_taxes_0,geq_taxes_1,geq_taxes_2a,geq_taxes_2b,geq_ticket_0,geq_ticket_1,geq_ticket_2a,geq_ticket_2b,wtpVal,taxesExtra,ticketExtra,wtpVal_PPP,taxesExtra_PPP,ticketExtra_PPP,WTP_R1,WTP_R2_aux,geq_taxes_R1,geq_taxes_R2_aux,geq_ticket_R1,geq_ticket_R2_aux,WTP_R2,geq_taxes_R2,geq_ticket_R2,WTP_BD1,WTP_BD2,geq_taxes_BD1,geq_taxes_BD2,geq_ticket_BD1,geq_ticket_BD2,WTP_BD1_PPP,WTP_BD2_PPP,geq_taxes_BD1_PPP,geq_taxes_BD2_PPP,geq_ticket_BD1_PPP,geq_ticket_BD2_PPP
643,Chile,24,Masculino,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,Yes,NA,NA,299000,6000,NA,1000,20,NA,NA,1,No,1,Yes,NA,0,1,NA,NA,299000,598000,6000,12000,NA,NA,1000,2000,20,40
644,Chile,21,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,No,No,NA,No,No,NA,NA,NA,299000,149000,NA,1000,500,NA,0,No,0,No,NA,NA,0,0,NA,299000,149500,149000,74500,NA,NA,1000,500,500,250,NA,NA
645,Chile,23,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,No,No,NA,No,Yes,Yes,No,NA,30000,15000,6000,100,50,20,NA,NA,0,No,1,No,NA,0,0,30000,NA,15000,7500,6000,12000,100,NA,50,25,20,40
646,Chile,36,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,No,No,NA,No,No,NA,NA,NA,15000,3000,NA,50,10,NA,1,Yes,0,No,NA,NA,1,0,NA,15000,30000,3000,1500,NA,NA,50,100,10,5,NA,NA
647,Chile,50,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,No,NA,NA,NA,NA,15000,NA,NA,50,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,15000,7500,NA,NA,NA,NA,50,25,NA,NA
648,Chile,42,Masculino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,Yes,No,NA,No,NA,NA,NA,NA,15000,NA,NA,50,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,15000,30000,NA,NA,NA,NA,50,100,NA,NA
649,Chile,32,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,Yes,RS,NA,NA,Yes,Yes,No,NA,299000,149000,30000,1000,500,100,0,No,NA,NA,1,No,0,NA,0,299000,149500,149000,NA,30000,60000,1000,500,500,NA,100,200
650,Chile,25,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,No,No,NA,No,DK,NA,NA,NA,15000,1493000,NA,50,5000,NA,1,Yes,0,No,NA,NA,1,0,NA,15000,30000,1493000,746500,NA,NA,50,100,5000,2500,NA,NA
651,Chile,25,Femenino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,149000,NA,NA,500,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,149000,74500,NA,NA,NA,NA,500,250,NA,NA
652,Chile,29,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,Yes,No,NA,No,No,NA,NA,NA,30000,15000,NA,100,50,NA,NA,NA,0,No,NA,NA,NA,0,NA,30000,NA,15000,7500,NA,NA,100,NA,50,25,NA,NA
653,Chile,62,Masculino,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,RS,Yes,Yes,NA,No,NA,NA,NA,NA,3000,NA,NA,10,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,3000,6000,NA,NA,NA,NA,10,20,NA,NA
654,Chile,22,Femenino,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,No,NA,No,NA,299000,60000,NA,1000,200,NA,NA,1,No,0,No,NA,0,0,NA,NA,299000,598000,60000,30000,NA,NA,1000,2000,200,100
655,Chile,25,Masculino,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,3000,30000,NA,10,100,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,3000,6000,30000,60000,NA,NA,10,20,100,200
656,Chile,22,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,DK,NA,NA,Yes,DK,NA,NA,Yes,Yes,Yes,NA,30000,1493000,3000,100,5000,10,NA,NA,NA,NA,1,Yes,NA,NA,1,30000,NA,1493000,NA,3000,6000,100,NA,5000,NA,10,20
657,Chile,34,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,No,No,NA,No,Yes,Yes,Yes,NA,299000,149000,6000,1000,500,20,0,No,0,No,1,Yes,0,0,1,299000,149500,149000,74500,6000,12000,1000,500,500,250,20,40
658,Chile,23,Masculino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,DK,Yes,No,NA,No,No,NA,NA,NA,30000,299000,NA,100,1000,NA,0,DK,0,No,NA,NA,NA,0,NA,30000,15000,299000,149500,NA,NA,100,50,1000,500,NA,NA
659,Chile,43,Femenino,Unknown/missing,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,No,No,NA,No,No,NA,NA,NA,30000,30000,NA,100,100,NA,1,Yes,0,No,NA,NA,1,0,NA,30000,60000,30000,15000,NA,NA,100,200,100,50,NA,NA
660,Chile,33,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,149000,NA,NA,500,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,149000,298000,NA,NA,NA,NA,500,1000,NA,NA
661,Chile,24,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,No,NA,Yes,30000,3000,60000,100,10,200,1,Yes,1,Yes,0,Yes,1,1,1,30000,60000,3000,6000,60000,30000,100,200,10,20,200,100
662,Chile,26,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,No,No,NA,No,No,NA,NA,NA,299000,3000,NA,1000,10,NA,1,Yes,0,No,NA,NA,1,0,NA,299000,598000,3000,1500,NA,NA,1000,2000,10,5,NA,NA
663,Chile,26,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,DK,DK,NA,NA,DK,NA,NA,NA,30000,299000,NA,100,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,299000,NA,NA,NA,100,NA,1000,NA,NA,NA
664,Chile,29,Femenino,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,149000,NA,NA,500,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,149000,74500,NA,NA,NA,NA,500,250,NA,NA
665,Chile,27,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,DK,NA,Yes,Yes,DK,NA,NA,15000,60000,NA,50,200,NA,NA,1,DK,1,DK,NA,NA,NA,NA,NA,15000,30000,60000,120000,NA,NA,50,100,200,400
666,Chile,21,Femenino,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,149000,NA,NA,500,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,149000,74500,NA,NA,NA,NA,500,250,NA,NA
667,Chile,24,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,30000,NA,NA,100,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,30000,60000,NA,NA,NA,NA,100,200,NA,NA
668,Chile,19,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,No,No,NA,Yes,No,NA,NA,NA,NA,15000,NA,NA,50,NA,NA,NA,0,Yes,NA,NA,NA,1,NA,NA,NA,15000,7500,NA,NA,NA,NA,50,25,NA,NA
669,Chile,21,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,Yes,No,NA,No,No,NA,NA,NA,30000,299000,NA,100,1000,NA,1,DK,0,No,NA,NA,NA,0,NA,30000,60000,299000,149500,NA,NA,100,200,1000,500,NA,NA
670,Chile,24,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,1493000,NA,NA,5000,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,1493000,746500,NA,NA,NA,NA,5000,2500,NA,NA
671,Chile,34,Femenino,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,No,No,NA,No,Yes,DK,NA,NA,299000,1493000,60000,1000,5000,200,0,No,0,No,NA,NA,0,0,NA,299000,149500,1493000,746500,60000,NA,1000,500,5000,2500,200,NA
672,Chile,25,Femenino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,30000,NA,NA,100,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,30000,15000,NA,NA,NA,NA,100,50,NA,NA
673,Chile,22,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,Yes,DK,NA,NA,DK,NA,NA,NA,299000,299000,NA,1000,1000,NA,0,No,NA,NA,NA,NA,0,NA,NA,299000,149500,299000,NA,NA,NA,1000,500,1000,NA,NA,NA
674,Chile,34,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,15000,30000,30000,50,100,100,1,Yes,1,No,1,No,1,0,0,15000,30000,30000,60000,30000,60000,50,100,100,200,100,200
675,Chile,42,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,Yes,Yes,DK,NA,Yes,Yes,No,NA,119000,15000,60000,400,50,200,1,DK,1,DK,1,No,NA,NA,0,119000,238000,15000,30000,60000,120000,400,800,50,100,200,400
676,Chile,24,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,15000,NA,NA,50,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,15000,30000,NA,NA,NA,NA,50,100,NA,NA
677,Chile,40,Masculino,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,RS,NA,NA,DK,Yes,Yes,NA,No,NA,NA,NA,60000,30000,NA,200,100,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,60000,NA,30000,60000,NA,NA,200,NA,100,200,NA,NA
678,Chile,22,Femenino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,RS,No,NA,No,DK,NA,NA,NA,NA,3000,NA,NA,10,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,3000,1500,NA,NA,NA,NA,10,5,NA,NA
679,Chile,26,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,No,No,NA,No,No,NA,NA,NA,60000,15000,NA,200,50,NA,1,No,0,No,NA,NA,0,0,NA,60000,120000,15000,7500,NA,NA,200,400,50,25,NA,NA
680,Chile,67,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,DK,NA,No,No,NA,No,No,NA,NA,NA,60000,299000,NA,200,1000,NA,1,DK,0,No,NA,NA,NA,0,NA,60000,120000,299000,149500,NA,NA,200,400,1000,500,NA,NA
681,Chile,42,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,No,No,NA,NA,NA,15000,1493000,NA,50,5000,NA,1,Yes,0,No,NA,NA,1,0,NA,15000,30000,1493000,746500,NA,NA,50,100,5000,2500,NA,NA
682,Chile,25,Femenino,Unknown/missing,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,Yes,Yes,No,NA,Yes,Yes,RS,NA,NA,30000,15000,15000,100,50,50,0,Yes,0,Yes,NA,NA,1,1,NA,30000,15000,15000,7500,15000,NA,100,50,50,25,50,NA
683,Chile,46,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,DK,NA,NA,No,NA,NA,NA,NA,3000,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,10,NA,NA,NA
684,Chile,35,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,No,NA,No,No,NA,NA,NA,119000,299000,NA,400,1000,NA,0,No,0,No,NA,NA,0,0,NA,119000,59500,299000,149500,NA,NA,400,200,1000,500,NA,NA
685,Chile,60,Masculino,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,No,No,NA,No,DK,NA,NA,NA,30000,30000,NA,100,100,NA,1,Yes,0,No,NA,NA,1,0,NA,30000,60000,30000,15000,NA,NA,100,200,100,50,NA,NA
686,Chile,27,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,RS,No,NA,No,No,NA,NA,NA,60000,149000,NA,200,500,NA,0,No,0,No,NA,NA,0,0,NA,60000,30000,149000,74500,NA,NA,200,100,500,250,NA,NA
687,Chile,38,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,No,NA,DK,Yes,Yes,DK,NA,119000,149000,15000,400,500,50,0,No,0,DK,1,DK,0,NA,NA,119000,59500,149000,74500,15000,30000,400,200,500,250,50,100
688,Chile,24,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,DK,Yes,Yes,NA,DK,NA,NA,NA,30000,3000,NA,100,10,NA,0,No,1,Yes,NA,NA,0,1,NA,30000,15000,3000,6000,NA,NA,100,50,10,20,NA,NA
689,Chile,26,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,No,Yes,Yes,No,NA,15000,299000,60000,50,1000,200,1,Yes,0,No,1,No,1,0,0,15000,30000,299000,149500,60000,120000,50,100,1000,500,200,400
690,Chile,46,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,DK,DK,NA,NA,Yes,Yes,DK,NA,119000,15000,30000,400,50,100,NA,NA,NA,NA,1,DK,NA,NA,NA,119000,NA,15000,NA,30000,60000,400,NA,50,NA,100,200
691,Chile,33,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,Yes,No,NA,No,Yes,No,NA,Yes,60000,15000,60000,200,50,200,0,Yes,0,No,0,Yes,1,0,1,60000,30000,15000,7500,60000,30000,200,100,50,25,200,100
692,Chile,22,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,RS,No,NA,No,DK,NA,NA,NA,NA,15000,NA,NA,50,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,15000,7500,NA,NA,NA,NA,50,25,NA,NA
693,Chile,22,Masculino,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,DK,DK,NA,NA,Yes,DK,NA,NA,NA,149000,60000,NA,500,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149000,NA,60000,NA,NA,NA,500,NA,200,NA
694,Chile,47,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,Yes,No,NA,Yes,DK,NA,NA,NA,3000,15000,NA,10,50,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,3000,6000,15000,NA,NA,NA,10,20,50,NA
695,Chile,20,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,DK,NA,NA,No,NA,NA,NA,299000,149000,NA,1000,500,NA,1,No,NA,NA,NA,NA,0,NA,NA,299000,598000,149000,NA,NA,NA,1000,2000,500,NA,NA,NA
696,Chile,23,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,Yes,Yes,Yes,NA,No,NA,NA,NA,60000,3000,NA,200,10,NA,0,Yes,1,Yes,NA,NA,1,1,NA,60000,30000,3000,6000,NA,NA,200,100,10,20,NA,NA
697,Chile,41,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,No,Yes,No,NA,No,30000,149000,30000,100,500,100,1,Yes,0,No,0,No,1,0,0,30000,60000,149000,74500,30000,15000,100,200,500,250,100,50
698,Chile,27,Masculino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,Yes,Yes,DK,NA,No,NA,NA,NA,NA,3000,NA,NA,10,NA,NA,NA,1,DK,NA,NA,NA,NA,NA,NA,NA,3000,6000,NA,NA,NA,NA,10,20,NA,NA
699,Chile,27,Masculino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,60000,3000,NA,200,10,NA,1,No,1,Yes,NA,NA,0,1,NA,60000,120000,3000,6000,NA,NA,200,400,10,20,NA,NA
700,Chile,22,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,No,NA,No,Yes,No,NA,No,60000,15000,60000,200,50,200,0,No,0,No,0,No,0,0,0,60000,30000,15000,7500,60000,30000,200,100,50,25,200,100
701,Chile,43,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,No,NA,NA,NA,NA,149000,NA,NA,500,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,149000,74500,NA,NA,NA,NA,500,250,NA,NA
702,Chile,30,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,RS,NA,No,No,NA,No,Yes,Yes,No,NA,30000,1493000,30000,100,5000,100,1,RS,0,No,1,No,NA,0,0,30000,60000,1493000,746500,30000,60000,100,200,5000,2500,100,200
703,Chile,39,Femenino,Unknown/missing,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,RS,RS,NA,NA,No,NA,NA,NA,NA,1493000,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1493000,NA,NA,NA,NA,NA,5000,NA,NA,NA
704,Chile,20,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,No,NA,No,Yes,No,NA,DK,NA,3000,30000,NA,10,100,NA,NA,0,No,0,DK,NA,0,NA,NA,NA,3000,1500,30000,15000,NA,NA,10,5,100,50
705,Chile,36,Masculino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,No,NA,No,Yes,Yes,Yes,NA,30000,1493000,15000,100,5000,50,1,Yes,0,No,1,Yes,1,0,1,30000,60000,1493000,746500,15000,30000,100,200,5000,2500,50,100
706,Chile,57,Femenino,Secondary completed,Do not know,Do not know,NA,NA,NA,No,No,NA,No,RS,NA,NA,NA,NA,30000,NA,NA,100,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,30000,15000,NA,NA,NA,NA,100,50,NA,NA
707,Chile,46,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,DK,NA,Yes,DK,NA,NA,No,NA,NA,NA,30000,1493000,NA,100,5000,NA,1,DK,NA,NA,NA,NA,NA,NA,NA,30000,60000,1493000,NA,NA,NA,100,200,5000,NA,NA,NA
708,Chile,20,Femenino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,149000,NA,NA,500,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,149000,74500,NA,NA,NA,NA,500,250,NA,NA
709,Chile,21,Masculino,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,DK,No,NA,Yes,No,NA,NA,NA,NA,149000,NA,NA,500,NA,NA,NA,0,Yes,NA,NA,NA,1,NA,NA,NA,149000,74500,NA,NA,NA,NA,500,250,NA,NA
710,Chile,23,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,No,NA,Yes,No,NA,NA,NA,NA,30000,NA,NA,100,NA,NA,NA,0,Yes,NA,NA,NA,1,NA,NA,NA,30000,15000,NA,NA,NA,NA,100,50,NA,NA
711,Chile,29,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,DK,NA,NA,Yes,No,NA,No,No,NA,NA,NA,119000,299000,NA,400,1000,NA,NA,NA,0,No,NA,NA,NA,0,NA,119000,NA,299000,149500,NA,NA,400,NA,1000,500,NA,NA
712,Chile,57,Masculino,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,No,NA,DK,Yes,DK,NA,NA,30000,149000,60000,100,500,200,1,No,0,DK,NA,NA,0,NA,NA,30000,60000,149000,74500,60000,NA,100,200,500,250,200,NA
713,Chile,19,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,DK,No,NA,No,DK,NA,NA,NA,30000,299000,NA,100,1000,NA,1,DK,0,No,NA,NA,NA,0,NA,30000,60000,299000,149500,NA,NA,100,200,1000,500,NA,NA
714,Chile,36,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,No,No,NA,No,No,NA,NA,NA,119000,1493000,NA,400,5000,NA,0,No,0,No,NA,NA,0,0,NA,119000,59500,1493000,746500,NA,NA,400,200,5000,2500,NA,NA
715,Chile,22,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,No,No,NA,No,No,NA,NA,NA,299000,1493000,NA,1000,5000,NA,0,No,0,No,NA,NA,0,0,NA,299000,149500,1493000,746500,NA,NA,1000,500,5000,2500,NA,NA
716,Chile,27,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,RS,DK,NA,NA,Yes,Yes,Yes,NA,60000,3000,3000,200,10,10,1,No,NA,NA,1,Yes,0,NA,1,60000,120000,3000,NA,3000,6000,200,400,10,NA,10,20
717,Chile,67,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,DK,No,NA,No,DK,NA,NA,NA,15000,149000,NA,50,500,NA,1,Yes,0,No,NA,NA,1,0,NA,15000,30000,149000,74500,NA,NA,50,100,500,250,NA,NA
718,Chile,26,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,DK,No,NA,No,No,NA,NA,NA,30000,149000,NA,100,500,NA,0,Yes,0,No,NA,NA,1,0,NA,30000,15000,149000,74500,NA,NA,100,50,500,250,NA,NA
719,Chile,34,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,DK,Yes,No,NA,No,NA,NA,NA,30000,30000,NA,100,100,NA,1,No,1,No,NA,NA,0,0,NA,30000,60000,30000,60000,NA,NA,100,200,100,200,NA,NA
720,Chile,22,Masculino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,DK,No,NA,Yes,No,NA,NA,NA,NA,149000,NA,NA,500,NA,NA,NA,0,Yes,NA,NA,NA,1,NA,NA,NA,149000,74500,NA,NA,NA,NA,500,250,NA,NA
721,Chile,22,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,Yes,DK,NA,NA,DK,NA,NA,NA,15000,30000,NA,50,100,NA,1,DK,NA,NA,NA,NA,NA,NA,NA,15000,30000,30000,NA,NA,NA,50,100,100,NA,NA,NA
722,Chile,21,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,DK,Yes,No,NA,Yes,No,NA,No,30000,30000,60000,100,100,200,1,No,1,No,0,No,0,0,0,30000,60000,30000,60000,60000,30000,100,200,100,200,200,100
723,Chile,23,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,3000,NA,NA,10,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,3000,6000,NA,NA,NA,NA,10,20,NA,NA
724,Chile,27,Masculino,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,No,NA,No,NA,15000,60000,NA,50,200,NA,NA,1,Yes,0,No,NA,1,0,NA,NA,15000,30000,60000,30000,NA,NA,50,100,200,100
725,Chile,30,Femenino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,No,NA,No,No,NA,NA,NA,NA,1493000,NA,NA,5000,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,1493000,746500,NA,NA,NA,NA,5000,2500,NA,NA
726,Chile,42,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,RS,RS,NA,NA,RS,NA,NA,NA,60000,1493000,NA,200,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,NA,1493000,NA,NA,NA,200,NA,5000,NA,NA,NA
727,Chile,30,Femenino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,No,No,NA,No,DK,NA,NA,NA,15000,30000,NA,50,100,NA,1,Yes,0,No,NA,NA,1,0,NA,15000,30000,30000,15000,NA,NA,50,100,100,50,NA,NA
728,Chile,63,Masculino,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,30000,30000,15000,100,100,50,1,Yes,1,Yes,1,Yes,1,1,1,30000,60000,30000,60000,15000,30000,100,200,100,200,50,100
729,Chile,24,Otro,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,Yes,NA,DK,NA,NA,NA,299000,15000,NA,1000,50,NA,0,No,1,Yes,NA,NA,0,1,NA,299000,149500,15000,30000,NA,NA,1000,500,50,100,NA,NA
730,Chile,42,Femenino,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,299000,NA,NA,1000,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,299000,149500,NA,NA,NA,NA,1000,500,NA,NA
731,Chile,67,Femenino,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,3000,NA,NA,10,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,3000,1500,NA,NA,NA,NA,10,5,NA,NA
732,Chile,23,Masculino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,DK,NA,No,NA,NA,NA,299000,299000,NA,1000,1000,NA,0,No,1,DK,NA,NA,0,NA,NA,299000,149500,299000,598000,NA,NA,1000,500,1000,2000,NA,NA
733,Chile,28,Femenino,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,No,NA,DK,NA,NA,NA,299000,30000,NA,1000,100,NA,0,No,1,No,NA,NA,0,0,NA,299000,149500,30000,60000,NA,NA,1000,500,100,200,NA,NA
734,Chile,32,Femenino,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,DK,NA,NA,No,NA,NA,NA,NA,15000,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,50,NA,NA,NA
